,Acceleration,Cylinders,Displacement,Horsepower,Miles_per_Gallon,Name,Origin,Weight_in_lbs,Year
332,21.7,4,90.0,48.0,44.3,vw rabbit c (diesel),Europe,2085,1980-01-01
333,23.7,4,90.0,48.0,43.4,vw dasher (diesel),Europe,2335,1980-01-01
334,19.9,5,121.0,67.0,36.4,audi 5000s (diesel),Europe,2950,1980-01-01
335,21.8,4,146.0,67.0,30.0,mercedes-benz 240d,Europe,3250,1980-01-01
336,13.8,4,91.0,67.0,44.6,honda civic 1500 gl,Japan,1850,1980-01-01
337,17.3,4,85.0,,40.9,renault lecar deluxe,Europe,1835,1980-01-01
338,18.0,4,97.0,67.0,33.8,subaru dl,Japan,2145,1980-01-01
339,15.3,4,89.0,62.0,29.8,vokswagen rabbit,Europe,1845,1980-01-01
340,11.4,6,168.0,132.0,32.7,datsun 280-zx,Japan,2910,1980-01-01
341,12.5,3,70.0,100.0,23.7,mazda rx-7 gs,Japan,2420,1980-01-01
342,15.1,4,122.0,88.0,35.0,triumph tr7 coupe,Europe,2500,1980-01-01
343,14.3,4,140.0,,23.6,ford mustang cobra,USA,2905,1980-01-01
344,17.0,4,107.0,72.0,32.4,honda Accelerationord,Japan,2290,1980-01-01
345,15.7,4,135.0,84.0,27.2,plymouth reliant,USA,2490,1982-01-01
346,16.4,4,151.0,84.0,26.6,buick skylark,USA,2635,1982-01-01
347,14.4,4,156.0,92.0,25.8,dodge aries wagon (sw),USA,2620,1982-01-01
348,12.6,6,173.0,110.0,23.5,chevrolet citation,USA,2725,1982-01-01
349,12.9,4,135.0,84.0,30.0,plymouth reliant,USA,2385,1982-01-01
350,16.9,4,79.0,58.0,39.1,toyota starlet,Japan,1755,1982-01-01
351,16.4,4,86.0,64.0,39.0,plymouth champ,USA,1875,1982-01-01
352,16.1,4,81.0,60.0,35.1,honda civic 1300,Japan,1760,1982-01-01
353,17.8,4,97.0,67.0,32.3,subaru,Japan,2065,1982-01-01
354,19.4,4,85.0,65.0,37.0,datsun 210,Japan,1975,1982-01-01
355,17.3,4,89.0,62.0,37.7,toyota tercel,Japan,2050,1982-01-01
356,16.0,4,91.0,68.0,34.1,mazda glc 4,Japan,1985,1982-01-01
357,14.9,4,105.0,63.0,34.7,plymouth horizon 4,USA,2215,1982-01-01
358,16.2,4,98.0,65.0,34.4,ford escort 4w,USA,2045,1982-01-01
359,20.7,4,98.0,65.0,29.9,ford escort 2h,USA,2380,1982-01-01
360,14.2,4,105.0,74.0,33.0,volkswagen jetta,Europe,2190,1982-01-01
361,15.8,4,100.0,,34.5,renault 18i,Europe,2320,1982-01-01
362,14.4,4,107.0,75.0,33.7,honda prelude,Japan,2210,1982-01-01
363,16.8,4,108.0,75.0,32.4,toyota corolla,Japan,2350,1982-01-01
364,14.8,4,119.0,100.0,32.9,datsun 200sx,Japan,2615,1982-01-01
365,18.3,4,120.0,74.0,31.6,mazda 626,Japan,2635,1982-01-01
366,20.4,4,141.0,80.0,28.1,peugeot 505s turbo diesel,Europe,3230,1982-01-01
367,15.4,4,121.0,110.0,,saab 900s,Europe,2800,1982-01-01
368,19.6,6,145.0,76.0,30.7,volvo diesel,Europe,3160,1982-01-01
369,12.6,6,168.0,116.0,25.4,toyota cressida,Japan,2900,1982-01-01
370,13.8,6,146.0,120.0,24.2,datsun 810 maxima,Japan,2930,1982-01-01
371,15.8,6,231.0,110.0,22.4,buick century,USA,3415,1982-01-01
372,19.0,8,350.0,105.0,26.6,oldsmobile cutlass ls,USA,3725,1982-01-01
373,17.1,6,200.0,88.0,20.2,ford granada gl,USA,3060,1982-01-01
374,16.6,6,225.0,85.0,17.6,chrysler lebaron salon,USA,3465,1982-01-01
375,19.6,4,112.0,88.0,28.0,chevrolet cavalier,USA,2605,1982-01-01
376,18.6,4,112.0,88.0,27.0,chevrolet cavalier wagon,USA,2640,1982-01-01
377,18.0,4,112.0,88.0,34.0,chevrolet cavalier 2-door,USA,2395,1982-01-01
378,16.2,4,112.0,85.0,31.0,pontiac j2000 se hatchback,USA,2575,1982-01-01
379,16.0,4,135.0,84.0,29.0,dodge aries se,USA,2525,1982-01-01
380,18.0,4,151.0,90.0,27.0,pontiac phoenix,USA,2735,1982-01-01
381,16.4,4,140.0,92.0,24.0,ford fairmont futura,USA,2865,1982-01-01
382,20.5,4,151.0,,23.0,amc concord dl,USA,3035,1982-01-01
383,15.3,4,105.0,74.0,36.0,volkswagen rabbit l,Europe,1980,1982-01-01
384,18.2,4,91.0,68.0,37.0,mazda glc custom l,Japan,2025,1982-01-01
385,17.6,4,91.0,68.0,31.0,mazda glc custom,Japan,1970,1982-01-01
386,14.7,4,105.0,63.0,38.0,plymouth horizon miser,USA,2125,1982-01-01
387,17.3,4,98.0,70.0,36.0,mercury lynx l,USA,2125,1982-01-01
388,14.5,4,120.0,88.0,36.0,nissan stanza xe,Japan,2160,1982-01-01
389,14.5,4,107.0,75.0,36.0,honda Accelerationord,Japan,2205,1982-01-01
390,16.9,4,108.0,70.0,34.0,toyota corolla,Japan,2245,1982-01-01
391,15.0,4,91.0,67.0,38.0,honda civic,Japan,1965,1982-01-01
392,15.7,4,91.0,67.0,32.0,honda civic (auto),Japan,1965,1982-01-01
393,16.2,4,91.0,67.0,38.0,datsun 310 gx,Japan,1995,1982-01-01
394,16.4,6,181.0,110.0,25.0,buick century limited,USA,2945,1982-01-01
395,17.0,6,262.0,85.0,38.0,oldsmobile cutlass ciera (diesel),USA,3015,1982-01-01
396,14.5,4,156.0,92.0,26.0,chrysler lebaron medallion,USA,2585,1982-01-01
397,14.7,6,232.0,112.0,22.0,ford granada l,USA,2835,1982-01-01
398,13.9,4,144.0,96.0,32.0,toyota celica gt,Japan,2665,1982-01-01
399,13.0,4,135.0,84.0,36.0,dodge charger 2.2,USA,2370,1982-01-01
400,17.3,4,151.0,90.0,27.0,chevrolet camaro,USA,2950,1982-01-01
401,15.6,4,140.0,86.0,27.0,ford mustang gl,USA,2790,1982-01-01
402,24.6,4,97.0,52.0,44.0,vw pickup,Europe,2130,1982-01-01
403,11.6,4,135.0,84.0,32.0,dodge rampage,USA,2295,1982-01-01
404,18.6,4,120.0,79.0,28.0,ford ranger,USA,2625,1982-01-01
405,19.4,4,119.0,82.0,31.0,chevy s-10,USA,2720,1982-01-01
